seed,length_mu
sd18_10xs5a4_roothairs.csv,193.9806824
sd19_10x1a1_roothairs.csv,174.1724854
sd19_10x1a2_roothairs.csv,154.7722626
sd19_10x1a3_roothairs.csv,142.6136967
sd19_10x1a4_roothairs.csv,160.4573669
sd19_10x2a10_roothairs.csv,150.3673307
sd19_10x2a11_roothairs.csv,143.898125
sd19_10x2a1_roothairs.csv,151.0213998
sd19_10x2a2_roothairs.csv,120.982097
sd19_10x2a3_roothairs.csv,148.5620852
sd19_10x2a4_roothairs.csv,153.1138237
sd19_10x2a5_roothairs.csv,152.8436488
sd19_10x2a6_roothairs.csv,154.5140282
sd19_10x2a7_roothairs.csv,130.0386737
sd19_10x2a8_roothairs.csv,164.0622438
sd19_10x2a9_roothairs.csv,154.6380662
sd19_10x3a1_roothairs.csv,158.4618565
sd19_10x3a2_roothairs.csv,176.6766193
sd19_10x3a3_roothairs.csv,179.5002418
sd19_10x3a4_roothairs.csv,167.9400034
sd19_10x3a5_roothairs.csv,116.7318739
sd19_10x3a6_roothairs.csv,148.7890199
sd19_10x3a7_roothairs.csv,110.516993
sd19_10x3a8_roothairs.csv,87.38422306
sd19_10x4a1_roothairs.csv,96.82070919
sd19_10x4a2_roothairs.csv,177.3383636
sd19_10x51_roothairs.csv,169.5152115
sd19_10x52_roothairs.csv,101.1093552
sd19_10x53_roothairs.csv,110.4566927
sd19_10x54_roothairs.csv,142.9322205
sd19_10x55_roothairs.csv,133.7843582
sd19_10x56_roothairs.csv,157.3408966
sd19_10x57_roothairs.csv,133.228302
sd19_10x6a1_roothairs.csv,238.256489
sd19_10x6a2_roothairs.csv,110.6161652
sd19_10x6a3_roothairs.csv,141.6926193
sd19_10x6a4_roothairs.csv,157.8794036
sd19_10x6a5_roothairs.csv,159.6203406
sd19_10x6a6_roothairs.csv,188.5375061
sd19_10x7a1_roothairs.csv,103.6422791
sd19_10x7a2_roothairs.csv,165.3276474
sd20_10x1a1_roothairs.csv,220.7999573
sd20_10x1a2_roothairs.csv,100.2071587
sd20_10x1a3_roothairs.csv,152.5890908
sd20_10x1a4_roothairs.csv,163.8727311
sd20_10x1a5_roothairs.csv,122.9910736
sd20_10x2a1_roothairs.csv,279.5994873
sd20_10x2a2_roothairs.csv,300.0335802
sd20_10x2a3_roothairs.csv,208.4884529
sd20_10x2a4_roothairs.csv,235.2153778
sd20_10x3a1_roothairs.csv,285.4084167
sd20_10x3a2_roothairs.csv,315.8575134
