Control,length_mu
sd20_10x13_roothairs.csv,71.93728527
sd20_10x14_roothairs.csv,93.05508423
sd20_10x21_roothairs.csv,111.093885
sd20_10x22_roothairs.csv,109.3204788
sd20_10x23_roothairs.csv,123.4719391
sd20_10x24_roothairs.csv,108.5530203
sd20_10x25_roothairs.csv,111.4774074
sd20_10x26_roothairs.csv,134.9191026
sd20_10x2a1_roothairs.csv,254.020651
sd20_10x2a2_roothairs.csv,226.6968994
sd20_10x2a3_roothairs.csv,278.3717629
sd20_10x2a4_roothairs.csv,261.4165955
sd20_10x2a5_roothairs.csv,166.0156997
sd20_10x2a6_roothairs.csv,219.899588
sd20_10x3a1_roothairs.csv,123.4291382
sd20_10x3a2_roothairs.csv,131.6811326
sd20_10x4a1_roothairs.csv,134.9632815
sd20_10x4a2_roothairs.csv,129.8146667
sd20_10x4a3_roothairs.csv,130.3446073
sd20_10x5a1_roothairs.csv,89.30781555
sd20_10x5a2_roothairs.csv,80.53862803
sd20_10x5a3_roothairs.csv,104.8854782
sd20_10x5a4_roothairs.csv,111.2631007
sd20_10x5a5_roothairs.csv,120.742501
sd20_10x5a6_roothairs.csv,159.9039591
sd20_10x5a7_roothairs.csv,116.480392
sd21_10x1a1_roothairs.csv,82.86927795
sd21_10x1a2_roothairs.csv,196.3564453
sd21_10x1a3_roothairs.csv,146.4942652
sd21_10x1a4_roothairs.csv,247.5423584
sd21_10x1a5_roothairs.csv,207.5176978
sd21_10x1a6_roothairs.csv,242.2006849
sd21_10x1a8_roothairs.csv,256.4972054
sd21_10x1a9_roothairs.csv,111.8102493
sd21_10x21_roothairs.csv,254.020651
sd21_10x22_roothairs.csv,226.6968994
sd21_10x23_roothairs.csv,278.3717629
sd21_10x24_roothairs.csv,261.4165955
sd21_10x25_roothairs.csv,166.0156997
sd21_10x26_roothairs.csv,219.899588
sd21_10x3a1_roothairs.csv,269.1394043
sd21_10x3a2_roothairs.csv,299.2858349
sd21_10x3a3_roothairs.csv,269.5650002
sd21_10x3a4_roothairs.csv,231.9877399
sd21_10x3a5_roothairs.csv,284.3915214
sd21_10x3a6_roothairs.csv,222.3640335
sd21_10x4a1_roothairs.csv,151.6200625
sd21_10x4a2_roothairs.csv,221.1010407
sd21_10x4a3_roothairs.csv,203.0498439
sd21_10x4a4_roothairs.csv,158.4832759
sd21_10x4a5_roothairs.csv,197.6351366
sd21_10x4a6_roothairs.csv,144.3861704
sd21_10xs1a1_roothairs.csv,249.0481567
sd21_10xs1a2_roothairs.csv,195.4737549
sd21_10xs1a3_roothairs.csv,219.2120056
sd21_10xs1a4_roothairs.csv,239.6442871
sd21_10xs1a5_roothairs.csv,181.5333862
sd21_10xs1a6_roothairs.csv,95.78556061
sd21_10xs1a7_roothairs.csv,83.24198914
sd21_10xs1a8_roothairs.csv,91.3746109
sd21_10xs2a1_roothairs.csv,293.5097656
sd21_10xs2a2_roothairs.csv,269.2088623
sd21_10xs2a3_roothairs.csv,200.9171371
sd21_10xs2a4_roothairs.csv,235.6926179
sd21_10xs2a5_roothairs.csv,220.5977314
sd21_10xs2a6_roothairs.csv,116.9485016
sd21_10xs2a7_roothairs.csv,70.64394344
sd21_10xs2a8_roothairs.csv,163.6587524
sd21_10xs31_roothairs.csv,256.8673706
sd21_10xs32_roothairs.csv,191.781344
sd21_10xs33_roothairs.csv,217.4893356
sd21_10xs34_roothairs.csv,243.1504788
sd21_10xs35_roothairs.csv,171.389418
sd21_10xs36_roothairs.csv,156.3697742
sd21_10xs37_roothairs.csv,154.1354585
sd21_10xs38_roothairs.csv,106.3105164
sd22_10x1a10_roothairs.csv,210.5213318
sd22_10x1a11_roothairs.csv,233.9751282
sd22_10x1a12_roothairs.csv,198.4692078
sd22_10x1a1_roothairs.csv,193.2081101
sd22_10x1a2_roothairs.csv,175.3041916
sd22_10x1a3_roothairs.csv,140.6723855
sd22_10x1a4_roothairs.csv,191.3930593
sd22_10x1a5_roothairs.csv,227.181651
sd22_10x1a6_roothairs.csv,209.6541668
sd22_10x1a7_roothairs.csv,158.1475916
sd22_10x1a8_roothairs.csv,222.3937839
sd22_10x1a9_roothairs.csv,167.9287262
sd22_10x2a10_roothairs.csv,239.9428085
sd22_10x2a11_roothairs.csv,277.036414
sd22_10x2a1_roothairs.csv,131.9563224
sd22_10x2a2_roothairs.csv,209.9155298
sd22_10x2a3_roothairs.csv,154.6131335
sd22_10x2a4_roothairs.csv,217.1284485
sd22_10x2a5_roothairs.csv,211.2069192
sd22_10x2a6_roothairs.csv,183.094188
sd22_10x2a7_roothairs.csv,219.77602
sd22_10x2a8_roothairs.csv,179.4257309
sd22_10x2a9_roothairs.csv,123.3932257
sd22_10x3a2_roothairs.csv,198.1829094
sd22_10x3a3_roothairs.csv,225.0079926
sd22_10x3a4_roothairs.csv,278.6638046
sd22_10x3a5_roothairs.csv,164.9378838
sd22_10x3a6_roothairs.csv,163.1576106
sd22_10x4a10_roothairs.csv,82.12125257
sd22_10x4a1_roothairs.csv,159.0170995
sd22_10x4a2_roothairs.csv,150.507782
sd22_10x4a3_roothairs.csv,210.774353
sd22_10x4a4_roothairs.csv,129.9722869
sd22_10x4a5_roothairs.csv,145.0004044
sd22_10x4a6_roothairs.csv,137.5465546
sd22_10x4a7_roothairs.csv,163.6593304
sd22_10x4a8_roothairs.csv,105.56987
sd22_10x4a9_roothairs.csv,106.3761597
sd22_10x5a1_roothairs.csv,230.804194
sd22_10x5a2_roothairs.csv,248.6599889
sd22_10x5a3_roothairs.csv,108.8490556
sd23_10x1a1_roothairs.csv,125.2974984
sd23_10x1a2_roothairs.csv,152.5436569
sd23_10x2a1_roothairs.csv,124.3391495
sd23_10x2a2_roothairs.csv,160.8746689
sd23_10x3a1_roothairs.csv,95.245224
sd23_10x3a2_roothairs.csv,227.7260117
sd23_10x3a3_roothairs.csv,150.9741821
sd23_10x4a1_roothairs.csv,238.1519026
sd23_10x4a2_roothairs.csv,197.8071899
